term,definition
CPAP (Continuous Positive Airway Pressure) Machine,A breathing machine that provides pressure to keep the upper airways open during breathing. This machine is often used for patients with obstructive sleep apnea.
CPR (Cardiopulmonary Resuscitation),A procedure using cardiac and respiratory equipment and medications possibly to restore the heartbeat and/or breathing.
Creatinine,A waste product in the blood that is removed by the kidneys and eliminated in the urine. Regular testing of the creatinine level serves as an indicator of how well the kidney is functioning.
Crossmatch,A test that establishes the compatibility or closeness of blood between the organ donor and recipient. A positive crossmatch shows that the donor and patient are incompatible. A negative crossmatch means there is no reaction between donor and patient and that the transplant may proceed.
Cyanosis,"A blue tint to the skin, indicates the body is not receiving enough oxygen-rich blood."
Cyclosporine Level Test,"A blood test that measures the amount of cyclosporine in the blood. Based on the amount of cyclosporine measured, a physician decides what dose of cyclosporine is appropriate for a patient."
Cytomegalovirus (CMV),"A common virus that may be present without symptoms in healthy people, but can be a serious condition if present in transplant patients."
Decisional Incapacity,A condition in which a patient is unable to understand his or her choices or declare personal wishes about his or her care.
Deep Vein Thrombosis (DVT),"A clot in a deep vein, usually the leg. Symptoms may include pain, swelling or no symptoms at all. If untreated, the clot could travel to the lungs."
Defibrillator,A machine that is used to administer an electric shock to the heart in order to reestablish normal heart rhythm.
Diabetes,"A condition in which the body does not produce or respond to insulin (a hormone produced by your body, which allows blood sugar or glucose into your body's cells for energy."
Dialysis,An artificial means of cleansing the blood of waste products and removing fluids from the body when the patient’s own kidneys are unable to continue this process.
Diaphragm,The thin muscle below the lungs and heart that separates the chest cavity from the abdomen. The diaphragm is the most efficient breathing muscle.
Diaphragmatic,Surgery Surgery performed on the diaphragm. Diaphragmatic surgery may be performed to treat a hernia or any other conditions that affect the diaphragm.
Diastole,"The part of the heart cycle during which the myocardium relaxes and expands. During diastole, blood fills the heart chambers."
Diastolic,The lower number in a blood pressure reading that indicates the pressure in the heart when the muscle is relaxed (the point of least pressure).
Diastolic Pressure,"The pressure of the blood in the arteries when the heart is filling. It is the lower of two blood pressure measurements, e.g., 120/80, where 80 is the diastolic pressure."
Diffusion Capacity,A measurement of how much oxygen is carried from your lungs into your bloodstream.
Dilatation,The increase in size of a blood vessel.
Dilated Cardiomyopathy,"A disease of the myocardium (heart muscle) that causes the heart cavity to become stretched and enlarged, and the pumping capacity of the heart is reduced."
Dipyridamole Stress Test,"If you are unable to exercise on a treadmill or stationary bicycle for a stress test, a medication, called dipyridamole (Persantine) is used instead of exercise to test the heart's blood flow."
Diuretic,A drug that helps the body get rid of excess water by increasing the amount of urine the body excretes.
DNR Order (Do Not Resuscitate Order),An advanced directive that means no CPR is to be done when the heart and lungs stop.
"Dobutamine Stress Echo Echocardiogram (dobutamine echo, pharmacological echocardiogram)","A procedure that involves infusing a medication through an intravenous (IV) line, called dobutamine, while you are closely monitored. The medication stimulates your heart, to evaluate your heart and valve function at rest and with exertion, when you are unable to exercise on a treadmill or stationary cycle. Echocardiography is an imaging procedure that creates a graphic outline of the heart's movement, valves and chambers using high-frequency sound waves that come from a hand held wand placed on your chest. Echo is often combined with Doppler ultrasound and color Doppler to evaluate blood flow across the heart's valves."
Donor,"A person who gives an organ, tissue or blood to another person. A compatible donor is a person who has the same tissue and blood types as the person who receives the organ, tissue or blood."
Durable Power of Attorney for Health Care,"A written advance directive in which individuals name someone else (the ""agent"" or ""proxy"") to make health care decisions for them when they are unable to speak for themselves."
"Dysautonomia (neurocardiogenic syncope, POTS - postural orthostatic tachycardia syndrome)","Dysfunction of the autonomic nervous syndrome. Causes symptoms of fatigue, dizziness, increased heart rate, and other symptoms. See syncope."
Dysphagia,Difficulty swallowing.
Dysplasia,Abnormal or precancerous cells or tissue.
Dyspnea,"Shortness of breath, difficulty breathing."
Ebstein's Anomaly,A congenital malformation of the tricuspid valve. It usually occurs together with a septal defect.
Echocardiogram,An imaging procedure that creates a moving picture outline of the heart's valves and chambers using high-frequency sound waves that come from a hand held wand placed on your chest or passed down your throat. Echo is often combined with Doppler ultrasound and color Doppler to evaluate blood flow across the heart's valves. Doppler senses the speed of sound and can pick up abnormal leakage or blockage of valves.
